City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
200,Ulaangom,49.9811,92.0667,29.98,96,100,2.53,MN,overcast clouds
201,Manggar,-2.8833,108.2667,86.22,62,93,2.86,ID,overcast clouds
202,Matamoros,25.5333,-103.25,75.74,13,0,4.63,MX,clear sky
203,Padang,-0.9492,100.3543,77.05,79,100,0.54,ID,overcast clouds
204,Chuy,-33.6971,-53.4616,59.27,85,0,6.93,UY,clear sky
205,Sitka,57.0531,-135.33,42.69,61,75,24.16,US,broken clouds
206,Nemuro,43.3236,145.575,36.36,71,63,11.45,JP,broken clouds
207,Tautira,-17.7333,-149.15,82.27,75,79,20.8,PF,broken clouds
208,Huarmey,-10.0681,-78.1522,69.84,85,76,8.08,PE,broken clouds
209,San Pedro,14.35,121.0167,87.35,64,75,9.22,PH,broken clouds
210,Paraiso,9.8383,-83.8656,68.88,97,100,2.86,CR,overcast clouds
211,Sorland,67.667,12.6934,36.63,63,100,14.76,NO,overcast clouds
212,Turukhansk,65.8167,87.9833,22.51,91,100,11.16,RU,light snow
213,Kargasok,59.0556,80.8572,31.53,75,100,17.05,RU,overcast clouds
214,Lata,40.1629,-8.3327,54.81,79,100,3.13,PT,overcast clouds
215,Oum Hadjer,13.2954,19.6966,86.43,13,61,8.3,TD,broken clouds
216,Tuktoyaktuk,69.4541,-133.0374,12.2,79,20,8.05,CA,few clouds
217,Rio Gallegos,-51.6226,-69.2181,33.85,75,0,6.91,AR,clear sky
218,Erzin,36.9559,36.2,57.56,90,32,1.72,TR,scattered clouds
219,Pangoa,-12.1167,-73.0,70.74,93,77,2.15,PE,broken clouds
220,Montoro,38.0241,-4.3834,46.98,89,0,0.78,ES,clear sky
221,Benjamin Aceval,-24.9667,-57.5667,78.94,96,66,3.53,PY,broken clouds
222,Kafue,-15.7691,28.1814,67.03,94,100,2.39,ZM,light rain
223,Broken Hill,-31.95,141.4333,71.31,43,0,16.11,AU,clear sky
224,Road Town,18.4167,-64.6167,78.84,69,20,8.05,VG,few clouds
225,Chenghai,23.4632,116.768,73.31,68,0,2.24,CN,clear sky
226,Nova Olinda Do Norte,-3.8881,-59.0942,73.99,98,74,2.06,BR,broken clouds
227,Alta Floresta,-9.8756,-56.0861,71.44,96,58,2.1,BR,broken clouds
228,Trinidad,-14.8333,-64.9,75.27,91,53,2.53,BO,broken clouds
229,Ponta Do Sol,32.6667,-17.1,61.43,74,42,2.53,PT,scattered clouds
230,San Carlos De Bariloche,-41.1456,-71.3082,51.55,87,75,4.61,AR,broken clouds
231,Geraldton,-28.7667,114.6,88.21,29,72,19.57,AU,broken clouds
232,Beyneu,45.3167,55.2,53.46,60,31,5.37,KZ,scattered clouds
233,Inirida,3.8653,-67.9239,74.3,97,86,1.34,CO,overcast clouds
234,Conceicao Do Araguaia,-8.2578,-49.2647,74.32,94,97,3.71,BR,overcast clouds
235,Coromandel,-18.4733,-47.2003,70.3,72,78,3.65,BR,broken clouds
236,Esperance,-33.8667,121.9,73.24,56,3,9.01,AU,clear sky
237,Aljezur,37.3191,-8.8033,50.5,93,11,7.05,PT,few clouds
238,Slave Lake,55.2834,-114.769,35.58,75,0,4.61,CA,clear sky
239,Kieta,-6.2167,155.6333,77.79,91,100,8.97,PG,moderate rain
240,Rehoboth,-23.3167,17.0833,59.49,32,68,3.78,NA,broken clouds
241,Nizwa,22.9333,57.5333,81.3,24,0,1.77,OM,clear sky
242,Krasnokamensk,50.0979,118.0369,39.06,31,93,9.98,RU,overcast clouds
243,Langres,47.8333,5.3333,45.19,89,100,18.34,FR,overcast clouds
244,Kibala,9.1104,18.3463,81.05,55,57,6.87,TD,broken clouds
245,Nanortalik,60.1432,-45.2371,28.89,89,83,6.58,GL,broken clouds
246,Robertsport,6.7533,-11.3686,76.15,88,100,2.77,LR,overcast clouds
247,Rosita,13.9268,-84.4032,74.75,92,87,2.33,NI,overcast clouds
248,Mahibadhoo,3.7833,72.9667,83.12,67,8,3.94,MV,clear sky
249,Matara,5.9485,80.5353,79.9,74,76,5.14,LK,broken clouds
250,Cherskiy,68.75,161.3,-3.41,84,62,1.97,RU,broken clouds
251,Brae,60.3964,-1.353,38.53,62,100,15.59,GB,overcast clouds
252,Bambous Virieux,-20.3428,57.7575,75.45,78,40,3.44,MU,scattered clouds
253,Grand Forks,47.9417,-97.4337,33.73,93,100,29.93,US,snow
254,Sukhinichi,54.0999,35.3425,33.4,98,100,12.93,RU,light snow
255,Kalabo,-14.97,22.6814,65.05,93,65,4.36,ZM,broken clouds
256,Hamilton,39.1834,-84.5333,50.63,89,0,3.44,US,clear sky
257,Mangai,-4.05,19.5333,71.15,88,100,0.18,CD,overcast clouds
258,Richards Bay,-28.783,32.0377,71.76,82,83,17.74,ZA,light rain
259,Pevek,69.7008,170.3133,-4.27,90,100,8.19,RU,overcast clouds
260,Aswan,24.0934,32.907,79.9,12,0,9.22,EG,clear sky
261,Imbituba,-28.24,-48.6703,73.81,87,100,3.62,BR,overcast clouds
262,Gonen,40.1049,27.654,49.01,28,25,5.26,TR,scattered clouds
263,Xinpu,34.5997,119.1594,62.55,64,0,2.75,CN,clear sky
264,Alofi,-19.0595,-169.9187,84.09,74,99,10.36,NU,overcast clouds
265,Goma,-1.6792,29.2228,62.78,85,100,3.0,CD,overcast clouds
266,Yining,29.0361,114.5636,78.69,43,0,0.38,CN,clear sky
267,Hasaki,35.7333,140.8333,61.29,77,100,16.93,JP,overcast clouds
268,Tacoronte,28.4769,-16.4102,54.16,73,75,15.99,ES,broken clouds
269,Daru,-9.0763,143.2092,85.66,64,31,7.07,PG,scattered clouds
270,Sayhat,26.4852,50.0405,68.2,34,61,9.82,SA,broken clouds
271,Fayaoue,-20.65,166.5333,80.94,85,100,33.46,NC,overcast clouds
272,San Vicente,-26.6167,-54.1333,66.4,95,100,2.15,AR,light rain
273,Winnemucca,40.973,-117.7357,59.05,14,0,6.91,US,clear sky
274,Quatre Cocos,-20.2078,57.7625,75.31,71,96,11.03,MU,overcast clouds
275,Viransehir,37.2353,39.7631,57.02,56,1,9.82,TR,clear sky
276,Mount Gambier,-37.8333,140.7667,67.91,60,100,16.11,AU,overcast clouds
277,Kavieng,-2.5744,150.7967,82.51,76,100,7.52,PG,light rain
278,Flin Flon,54.7682,-101.865,29.71,89,100,7.72,CA,overcast clouds
279,Namibe,-15.1961,12.1522,71.1,76,0,5.73,AO,clear sky
280,Olinda,-8.0089,-34.8553,82.13,74,75,4.61,BR,broken clouds
281,Yar-Sale,66.8333,70.8333,10.51,87,99,19.93,RU,overcast clouds
282,Chimbote,-9.0853,-78.5783,68.04,87,97,5.61,PE,overcast clouds
283,Zabalj,45.3722,20.0639,49.23,84,100,13.09,RS,overcast clouds
284,Pacific Grove,36.6177,-121.9166,75.15,60,0,0.0,US,clear sky
285,Susanville,40.4163,-120.653,52.92,38,8,4.12,US,clear sky
286,Sergeyevka,53.88,67.4158,32.63,85,47,10.56,KZ,scattered clouds
287,San Cristobal,7.7669,-72.225,73.58,96,32,2.59,VE,scattered clouds
288,Cabo San Lucas,22.8909,-109.9124,70.61,70,2,9.62,MX,clear sky
289,Karratha,-20.7377,116.8463,94.69,35,11,13.31,AU,few clouds
290,Tessalit,20.1986,1.0114,80.37,17,3,13.78,ML,clear sky
291,Berdigestyakh,62.0989,126.6992,15.3,83,96,3.33,RU,overcast clouds
292,Koregaon,18.65,74.0833,84.27,39,9,3.87,IN,clear sky
