City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Bintulu,MY,82.81,scattered clouds,3.1667,113.0333,900 Boutique INN
466,Ahipara,NZ,68.43,few clouds,-35.1667,173.1667,Ahipara Holiday Park
469,Filingue,NE,85.06,broken clouds,14.3521,3.3168,
470,Manfredonia,IT,51.1,overcast clouds,41.6259,15.9094,Regiohotel Manfredi
472,Umm Bab,QA,76.1,clear sky,25.2142,50.8072,
473,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
475,Makakilo City,US,76.75,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
476,Creel,MX,52.66,broken clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
477,Acarau,BR,77.2,overcast clouds,-2.8856,-40.12,castelo pizzaria
479,Gazli,UZ,68.86,broken clouds,40.1333,63.45,
482,Ciudad Bolivar,VE,83.03,clear sky,8.1222,-63.5497,Hotel Edi
483,Laguna,US,80.74,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
484,Santa Marta,CO,84.88,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
485,Kismayo,SO,79.75,clear sky,-0.3582,42.5454,Agan-Hotel
486,Marihatag,PH,84.81,light rain,8.7936,126.2969,Mariner's Place & Resort
487,Vermilion,US,50.52,overcast clouds,40.1667,-87.7506,Sparkling Springs Cabin
489,Matay,EG,73.78,few clouds,28.419,30.7792,Nag Aespen
491,Knysna,ZA,55.02,light rain,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
492,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
494,San Martin,AR,68.54,clear sky,-33.081,-68.4681,Finca Vivencias
495,Say,NE,88.36,broken clouds,13.1007,2.3689,
496,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
497,Espanola,US,53.24,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
498,San Ramon,US,75.42,clear sky,37.7799,-121.978,San Ramon Marriott
499,Mathbaria,BD,88.7,few clouds,22.2876,89.9593,Shikdar Hotel
500,Terra Santa,BR,74.52,overcast clouds,-2.1042,-56.4869,Hotel Sarah
501,Rock Sound,BS,78.28,clear sky,24.9,-76.2,Pink Corral Bay Property
503,Finschhafen,PG,84.42,overcast clouds,-6.6024,147.8681,Cossam Guest House
504,Necochea,AR,61.12,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
505,Sandakan,MY,85.68,scattered clouds,5.8402,118.1179,Hotel Sandakan
506,Oranjemund,,57.79,overcast clouds,-28.55,16.4333,The Fisherman's Cove
509,Navalcarnero,ES,50.25,scattered clouds,40.2891,-4.012,Hotel Ciudad de Navalcarnero
511,Goundi,TD,83.95,broken clouds,9.3627,17.366,
515,Mosna,RO,53.85,light rain,46.0833,24.4,Burg Apartments Meschen
517,Nishihara,JP,70.88,few clouds,26.1842,127.7558,Minshuku Agaihama
521,San Francisco,US,75.04,clear sky,37.7749,-122.4194,Edwardian Hotel
522,Jumla,NP,64.49,clear sky,29.2747,82.1838,Royal Garden Hotel
523,Champerico,GT,82.92,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
524,Makaha,US,78.13,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
525,Baherden,TM,69.67,overcast clouds,38.4362,57.4316,
526,Wenzhou,CN,74.43,overcast clouds,27.9994,120.6668,温州喜来登酒店
529,Pedernales,DO,78.26,clear sky,18.0384,-71.744,Hotel Costa Marina
531,Beihai,CN,77.4,few clouds,21.4833,109.1,21 Degree Hostel
534,Mareeba,AU,85.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
535,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
536,Gaoual,GN,80.85,overcast clouds,11.75,-13.2,Hotel koliba
537,Ler,SS,83.91,scattered clouds,8.3018,30.1418,Leer Humanitarian Hub
538,Kyzyl-Suu,KG,54.61,few clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
539,Ranot,TH,84.63,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
540,Chengde,CN,58.28,scattered clouds,40.9725,117.9361,Super 8 Hotel
542,West Bay,KY,81.07,few clouds,19.3667,-81.4167,Calypso Cove
546,Darnah,LY,79.3,overcast clouds,32.767,22.6367,فندق الفردوس
547,Caraballeda,VE,80.67,clear sky,10.6112,-66.8522,Hotel 15 Letras
550,Half Moon Bay,US,73.18,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
551,Ancud,CL,56.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
552,Sinnamary,GF,77.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
553,Pascagoula,US,75.42,clear sky,30.3658,-88.5561,Regency Inn
554,Gurupa,BR,72.81,overcast clouds,-1.405,-51.64,Hotel Vitória
556,San Quintin,MX,65.12,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
558,Muros,ES,57.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
559,Illescas,ES,51.21,few clouds,40.1221,-3.847,Hotel Carlos I
560,Baghdad,IQ,73.31,dust,33.3406,44.4009,Baghdad Hotel
561,Mombaca,BR,71.98,overcast clouds,-5.7431,-39.6275,Mombaça Premium Hotel
562,Manaure,CO,79.25,broken clouds,11.7751,-72.4445,Hotel Palaaima
563,Hirara,JP,75.06,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
564,Kavaratti,IN,83.03,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
565,Yei,SS,66.58,light rain,4.095,30.6779,City Link Hotel
566,Kamariotissa,GR,54.77,broken clouds,40.4833,25.4667,Niki Beach
569,Torbat-E Jam,IR,67.05,broken clouds,35.244,60.6225,White building
570,Bana,CM,62.53,scattered clouds,5.1481,10.2762,Hôtel La Vallée de Bana
571,Kota Belud,MY,80.82,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
572,Ribnitz-Damgarten,DE,50.11,overcast clouds,54.25,12.4667,Perle am Bodden
573,Coahuayana,MX,68.9,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
575,Artigas,UY,66.16,light rain,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
576,Faya,SA,57.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
577,Bac Lieu,VN,84.88,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
578,Oshogbo,NG,74.23,overcast clouds,7.7667,4.5667,Regina Suites Osogbo
580,Gat,IL,61.48,broken clouds,31.61,34.7642,OlusHome
581,Lampa,CL,68.77,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
583,Kudat,MY,80.53,light rain,6.8837,116.8477,Dream Garden Hotel
584,Presidencia Roque Saenz Pena,AR,72.43,overcast clouds,-26.7852,-60.4388,Hotel Gualok
585,Toba,JP,68.09,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
586,Malakal,SS,84.67,clear sky,9.5334,31.6605,Nile Palace Hotel
587,Palmaner,IN,77.47,overcast clouds,13.2,78.75,NEW Vivekananda Lodge
589,Savannah Bight,HN,81.64,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
590,Asfi,MA,54.82,clear sky,32.2994,-9.2372,Hôtel Abda
591,Tual,ID,83.37,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
593,Calabozo,VE,86.18,overcast clouds,8.9242,-67.4293,Hotel Giardini
594,Liwale,TZ,71.02,overcast clouds,-9.7667,37.9333,Nakivubo Executive Lodge
595,Mahon,ES,50.56,clear sky,39.8885,4.2658,ARTIEM Capri
597,Ahuimanu,US,77.94,moderate rain,21.4447,-157.8378,Paradise Bay Resort
